Episode,Total Reward,Epsilon,Avg Loss
918,44.91,0.424,1.6887
919,213.54,0.261,2.1288
920,565.77,0.134,1.9914
921,215.82,0.309,1.6851
922,105.35,0.347,2.2442
923,379.98,0.235,1.4657
924,323.09,0.242,2.2082
925,483.57,0.177,2.3469
926,731.47,0.114,2.2021
927,500.11,0.162,1.7754
928,214.60,0.270,1.9428
929,175.12,0.316,2.0575
930,122.03,0.313,1.8945
931,324.09,0.241,2.0813
932,408.83,0.229,1.9086
933,338.63,0.237,1.4657
934,326.24,0.230,1.7402
935,564.86,0.141,1.9890
936,272.49,0.288,1.6617
937,329.80,0.257,2.0460
938,693.52,0.127,2.1668
939,2314.28,0.050,2.0178
940,1050.91,0.060,1.6301
941,197.40,0.243,1.7204
942,74.46,0.433,1.6434
943,296.26,0.260,1.7808
944,1114.27,0.066,1.5679
945,504.24,0.181,1.7731
946,277.60,0.317,1.8075
947,312.16,0.237,1.7172
948,2044.42,0.050,1.2180
949,662.62,0.125,1.0381
950,222.98,0.337,1.2598
951,590.48,0.154,1.2517
952,155.21,0.354,1.2511
953,105.16,0.390,1.8206
954,607.50,0.134,1.4445
955,52.15,0.448,1.4132
956,719.30,0.115,1.3394
957,479.18,0.222,1.2513
958,189.25,0.269,1.5789
959,107.90,0.394,1.7335
960,254.06,0.262,1.5879
961,792.70,0.083,1.8769
962,478.71,0.176,1.4074
963,189.64,0.248,1.5839
964,464.25,0.191,1.4294
965,246.33,0.300,1.6645
966,72.19,0.356,1.2623
967,1007.04,0.060,1.1390
968,677.47,0.134,1.4531
969,223.86,0.313,1.4228
970,292.76,0.234,1.4674
971,74.16,0.394,1.5285
972,68.92,0.433,1.6997
973,142.55,0.367,1.6323
974,3590.95,0.050,1.6759
975,208.16,0.272,1.7270
976,171.59,0.325,1.3530
977,288.39,0.237,1.3835
978,123.05,0.356,1.4283
979,526.85,0.179,1.6925
980,910.38,0.068,1.7373
981,229.37,0.272,1.4253
982,47.21,0.448,1.2456
983,37.52,0.455,2.0314
984,201.04,0.358,1.7768
985,1063.90,0.063,1.6040
986,330.03,0.227,1.6560
987,198.23,0.330,1.4519
988,39.21,0.422,1.3115
989,142.14,0.388,1.4215
990,366.32,0.222,1.8014
991,460.74,0.179,1.2242
992,434.07,0.234,1.6133
993,95.39,0.390,1.3485
994,373.41,0.219,1.8009
995,407.89,0.196,1.8251
996,265.56,0.283,1.9498
997,85.64,0.374,1.8621
998,242.45,0.313,1.6510
999,581.87,0.158,1.7411
1000,198.76,0.288,2.0580
